titulo	autor	isbn	paginas	ano
A troca	Beth O'Leary	9786555600070	352	2020
A Troca	Beth O'Leary	9788551005941	352	2020
A Caminho da Guerra	Graham Allison	9786555600346	416	2020
Nada Ortodoxa	Deborah Feldman	9786555600452	304	2020
Ruptura	Monica de Bolle	9786555600360	320	2020
Cercado de Idiotas	THOMAS ERIKSON	9786555600322	304	2020
Box Neil Gaiman	NEIL GAIMAN	9786555600551	1240	2020
A Torre de Nero	Rick Riordan	9786555600636	336	2020
Quase uma Rockstar	Matthew Quick	9788580576764	256	2020
Coraline	Neil Gaiman	9788551006757	224	2020
Promessa de Pai	Joe Biden	9786555600520	256	2020
Shine	Jessica Jung	9786555600506	368	2020
O Refúgio	Mick Kitson	9786555600650	320	2020
Estas Verdades	Jill Lepore	9786555600612	1072	2020
Adultos	 Emma Jane Unsworth	9786555600032	400	2020
Pachinko	Min Jin Lee	9788551005958	528	2020
A Troca	Beth O'Leary	9786555600438	352	2020
A cachorra	Pilar Quintana	9788551006597	160	2020
Vamos Sonhar Juntos	Papa Francisco	9786555601251	144	2020
O Esplêndido e o Vil	Erik Larson	9786555600902	324	2020
Mataram Marielle	Chico Otávio	9786555600384	224	2020
Royal City: Segredos em família	Jeff Lemire	9786555600926	160	2020
O Retorno	Nicholas Sparks	9786555650570	288	2020
Princípios do Estrategista	Felipe Miranda	9786555600810	320	2020
Nada Ortodoxa	Deborah Feldman	9786555600469	304	2020
Alexander Hamilton	 Ron Chernow	9788551006139	896	2020
Laura Dean vive terminando comigo	Mariko Tamaki	9786555601145	304	2020
Box Five Nights at Freddys (Trilogia Completa)	Scott Cawthon	9786555600858	992	2020
BOX NÃO SE APEGA, NÃO	ISABELA FREITAS	9786555600544	1500	2020
Não é errado ser feliz	Linda Holmes	9786555601121	304	2020
Não é errado ser feliz	Linda Holmes	9786555601138	304	2020
A Segunda Vida de Missy	Beth Morrey	9786555600834	304	2020
Quarenta e Quatro em Quarentena	Miguel Pinto Guimarães	9786555601329	624	2020
Pachinko	Min Jin Lee	9788551006344	528	2020
